,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายงานรายวิชาที่เปิดสอนให้นิสิตลงทะเบียน,,,,,,,,,,,,,,,,,,,,,,,,,,,
สถานที่จัดการเรียนการสอน มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,,,,,,,,,,,,,,,,,,,,,,,,,,,
ภาคการศึกษา ภาคต้น/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,
วิชา,บรรยาย,,,,,,,ปฎิบัติ,,,,,,อาจารย์ผู้สอน,,,,,,,,,,,,,
,หน่วยกิตรวม,หน่วยกิต,หมู่เรียน,วัน-เวลา,ห้องเรียน,สาขา-ชั้นปีมีสิทธิ์,รับ,หน่วยกิต,หมู่เรียน,วัน-เวลา,ห้องเรียน,สาขา-ชั้นปีมีสิทธิ์,รับ,,,,,,,,,,,,,,
บริหารธุรกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,
01130171-64 การบัญชีการเงิน (Financial Accounting),3,3,700,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","LH2-201 , LH2-201",Q08,80,,,,,,,ชุดาพร สอนภักดี* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  9:00-10:30,วันพฤหัสบดี  9:00-10:30","LH2-201 , LH2-201",Q10,100,,,,,,,ชุดาพร สอนภักดี* ,,,,,,,,,,,,,
,3,3,815,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LH3-211 , LH3-211",Q08,150,,,,,,,ชุดาพร สอนภักดี* ,,,,,,,,,,,,,
,3,3,825,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LH4-102 , LH4-102",Q10,100,,,,,,,ชุดาพร สอนภักดี* ,,,,,,,,,,,,,
01131111-67 การเงินสำหรับผู้ประกอบการ (Finance for Entrepreneurs),3,3,700,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LH3-209 , LH3-209",ALL,60,,,,,,,เกษศิณี ศิริรุ่งวัฒนชัย* ,,,,,,,,,,,,,
01131211-65 การเงินธุรกิจ (Business Finance),3,3,700,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","LH2-304 , LH2-304","Q08-2 , Q08-3 , Q08-4X",80,,,,,,,เกษศิณี ศิริรุ่งวัฒนชัย* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  16:00-17:30,วันพฤหัสบดี  16:00-17:30","LH3-305 , LH3-305","Q10-2 , Q10-3 , Q10-4X",100,,,,,,,เกษศิณี ศิริรุ่งวัฒนชัย* ,,,,,,,,,,,,,
,3,3,702,"วันอังคาร  19:00-20:30,วันพุธ  18:00-19:30","SC14-611 , SC14-611","Q10-3 , Q10-4X",20,,,,,,,เกษศิณี ศิริรุ่งวัฒนชัย* ,,,,,,,,,,,,,
,3,3,815,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LH2-304 , LH2-304","Q08-2 , Q08-3 , Q08-4X",190,,,,,,,เกษศิณี ศิริรุ่งวัฒนชัย* ,,,,,,,,,,,,,
,3,3,825,วันพุธ  9:00-12:00,LH2-201,-,120,,,,,,,เกษศิณี ศิริรุ่งวัฒนชัย* ,,,,,,,,,,,,,
,3,3,826,วันพฤหัสบดี  18:00-21:00,ติดต่อผู้สอน,"Q10-3 , Q10-4X",20,,,,,,,เกษศิณี ศิริรุ่งวัฒนชัย* ,,,,,,,,,,,,,
01132111-65 หลักการจัดการ (Principles of Management),3,3,700,"วันอังคาร  9:00-10:30,วันพฤหัสบดี  9:00-10:30","LH2-301 , LH4-304","Q08-1 , Q08-2 , Q08-3",90,,,,,,,จุรีวรรณ จันพลา* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LH4-503 , LH4-503","Q10-1 , Q10-2 , Q10-3",100,,,,,,,จุรีวรรณ จันพลา* ,,,,,,,,,,,,,
,3,3,815,"วันจันทร์  16:30-18:00,วันพุธ  16:30-18:00","LH4-304 , LH4-304","Q08-1 , Q08-2 , Q08-3",170,,,,,,,จุรีวรรณ จันพลา* ,,,,,,,,,,,,,
,3,3,825,"วันอังคาร  16:30-18:00,วันพฤหัสบดี  16:30-18:00","LH4-304 , LH4-304","Q10-1 , Q10-2 , Q10-3 , Q10-4",120,,,,,,,จุรีวรรณ จันพลา* ,,,,,,,,,,,,,
01132213-65 การสื่อสารองค์การ (Organization Communication),3,3,700,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LH4-202 , LH4-202","Q08-2 , Q08-3",80,,,,,,,โสภณ สระทองมา* ,,,,,,,,,,,,,
,3,3,815,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","LH4-202 , LH4-202","Q08-2 , Q08-3",140,,,,,,,โสภณ สระทองมา* ,,,,,,,,,,,,,
,3,3,816,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LH4-202 , LH4-202",Q08-4,2,,,,,,,โสภณ สระทองมา* ,,,,,,,,,,,,,
01132214-65 สภาพแวดล้อมธุรกิจ (Environment of Business),3,3,700,"วันอังคาร  9:00-10:30,วันพฤหัสบดี  9:00-10:30","LH4-306 , LH4-306",Q08-3,70,,,,,,,พชร ใจอารีย์* ,,,,,,,,,,,,,
,3,3,815,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LH3-211 , LH3-211","Q08-3 , Q08-4",120,,,,,,,พชร ใจอารีย์* ,,,,,,,,,,,,,
01132221-65 พฤติกรรมองค์การ (Organization Behavior),3,3,700,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","ติดต่อผู้สอน , ติดต่อผู้สอน",Q08-3,66,,,,,,,ทัตเทพ ทวีไทย* ,,,,,,,,,,,,,
,3,3,815,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LH3-305 , LH3-305","Q08-3 , Q08-4",120,,,,,,,ทัตเทพ ทวีไทย* ,,,,,,,,,,,,,
01132323-65 พนักงานสัมพันธ์ (Employee Relations),3,3,700,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","LH2-201 , LH3-303",Q08-4,68,,,,,,,ทัตเทพ ทวีไทย* ,,,,,,,,,,,,,
,3,3,815,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LH4-604 , LH4-604",Q08-4,76,,,,,,,ทัตเทพ ทวีไทย* ,,,,,,,,,,,,,
01132325-65 การสรรหาและการคัดเลือก (Recruitment and Selection),3,3,700,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","KH80-205 , KH80-203",Q08-3,66,,,,,,,"พชร ใจอารีย์*  , จุรีวรรณ จันพลา",,,,,,,,,,,,,
,3,3,815,"วันอังคาร  18:00-19:30,วันพฤหัสบดี  18:00-19:30","LH3-305 , LH3-305","Q08-3 , Q08-4",116,,,,,,,"พชร ใจอารีย์*  , จุรีวรรณ จันพลา",,,,,,,,,,,,,
01132326-65 การพัฒนาองค์การ (Organization Development),3,3,700,"วันจันทร์  13:00-14:00,วันพุธ  13:00-14:30","SC9-505 , SC9-505",Q08-4,68,,,,,,,ทัตเทพ ทวีไทย* ,,,,,,,,,,,,,
,3,3,815,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LH4-305 , LH4-305","Q08-4 , Q08-4X",76,,,,,,,ทัตเทพ ทวีไทย* ,,,,,,,,,,,,,
01132332-65 การวิเคราะห์เชิงปริมาณเพื่อการตัดสินใจทางธุรกิจ (Quantitative Analysis for Decision Making in Business),3,3,700,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","LH3-211 , LH3-211",Q08-3,66,,,,,,,อังคณา ธนานุภาพพันธุ์* ,,,,,,,,,,,,,
,3,3,815,"วันจันทร์  16:30-18:00,วันพุธ  16:30-18:00","LH2-201 , LH2-201","Q08-3 , Q08-4",120,,,,,,,อังคณา ธนานุภาพพันธุ์* ,,,,,,,,,,,,,
01132333-65 ระบบสารสนเทศทางธุรกิจ (Business Information Systems),3,3,700,วันอาทิตย์  9:00-12:00,LH4-503,Q08-3,70,,,,,,,โสภณ สระทองมา* ,,,,,,,,,,,,,
,3,3,815,วันอาทิตย์  13:00-16:00,LH4-503,"Q08-3 , Q08-4",120,,,,,,,โสภณ สระทองมา* ,,,,,,,,,,,,,
01132342-65 การวางแผนภาษีอากรธุรกิจ (Business Tax Planning),3,3,700,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","LH2-203 , KH80-202","Q08-4 , Q08-3",69,,,,,,,พชร ใจอารีย์* ,,,,,,,,,,,,,
,3,3,815,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","LH4-502 , LH4-502",Q08-4,77,,,,,,,พชร ใจอารีย์* ,,,,,,,,,,,,,
01132416-65 การจัดการการเปลี่ยนแปลงเชิงบูรณาการ (Integrative Approach in Change Management),3,3,700,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","KH80-205 , KH80-203",Q08-4,68,,,,,,,ทัตเทพ ทวีไทย* ,,,,,,,,,,,,,
,3,3,815,"วันจันทร์  16:30-18:00,วันพุธ  16:30-18:00","KH80-207 , KH80-207",Q08-4,76,,,,,,,ทัตเทพ ทวีไทย* ,,,,,,,,,,,,,
01132423-65 การจัดการผลการปฏิบัติงาน (Performance Management),3,3,700,"วันจันทร์  16:30-18:00,วันพุธ  16:30-18:00","LH3-209 , LH3-209",Q08-4,68,,,,,,,พชร ใจอารีย์* ,,,,,,,,,,,,,
,3,3,815,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LH3-211 , LH3-211",Q08-4,76,,,,,,,พชร ใจอารีย์* ,,,,,,,,,,,,,
01132462-65 การจัดการธุรกิจครอบครัว (Family Business Management),3,3,700,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LH4-503 , LH4-503",Q08-4,68,,,,,,,โสภณ สระทองมา* ,,,,,,,,,,,,,
,3,3,815,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LH2-204 , LH2-204","Q08-4 , Q08-6X",76,,,,,,,โสภณ สระทองมา* ,,,,,,,,,,,,,
01132465-65 การจัดการนวัตกรรมเพื่อธุรกิจ (Innovation Management for Business),3,3,700,วันพุธ  13:00-16:00,SC9-503,Q08-3,70,,,,,,,โสภณ สระทองมา* ,,,,,,,,,,,,,
,3,3,815,วันพุธ  9:00-12:00,SC9-503,"Q08-3 , Q08-4",116,,,,,,,โสภณ สระทองมา* ,,,,,,,,,,,,,
01132498-65 ปัญหาพิเศษ (Special Problems),,,,,,,,3,711,วันศุกร์  9:00-12:00,ติดต่อผู้สอน,"Q08-4 , Q08-3",69,พงศ์พันธ์ ศรีเมือง* ,,,,,,,,,,,,,
,,,,,,,,3,815,วันศุกร์  16:00-19:00,ติดต่อผู้สอน,"Q08-4 , Q08-6X",76,พงศ์พันธ์ ศรีเมือง* ,,,,,,,,,,,,,
01134111-65 หลักการตลาด (Principles of Marketing),3,3,700,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","KH80-202 , KH80-202",Q10-1,80,,,,,,,ศุภชัย เหมือนโพธิ์* ,,,,,,,,,,,,,
,3,3,825,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","KH80-202 , KH80-202",Q10-1,80,,,,,,,ศุภชัย เหมือนโพธิ์* ,,,,,,,,,,,,,
,3,3,826,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","KH80-202 , KH80-202",Q10-2,1,,,,,,,ศุภชัย เหมือนโพธิ์* ,,,,,,,,,,,,,
01134212-65 พฤติกรรมผู้บริโภค (Consumer Behavior),3,3,700,วันจันทร์  16:00-19:00,KH80-205,Q10-2,77,,,,,,,รุ่งทิพย์ ไทยสม* ,,,,,,,,,,,,,
,3,3,825,วันจันทร์  13:00-16:00,KH80-205,Q10-2,90,,,,,,,รุ่งทิพย์ ไทยสม* ,,,,,,,,,,,,,
01134312-65 การจัดการขาย (Sales Management),3,3,700,วันอังคาร  16:00-19:00,KH80-208,"Q10-4 , Q02-2",87,,,,,,,ทาริกา สระทองคำ* ,,,,,,,,,,,,,
,3,3,825,วันจันทร์  16:00-19:00,KH80-206,Q10-4,57,,,,,,,ทาริกา สระทองคำ* ,,,,,,,,,,,,,
,3,3,826,วันอังคาร  16:00-19:00,ติดต่อผู้สอน,Q10-4,12,,,,,,,ทาริกา สระทองคำ* ,,,,,,,,,,,,,
01134322-65 การตลาดดิจิทัล (Digital Marketing),3,3,700,วันจันทร์  16:00-19:00,KH80-203,Q10-3,86,,,,,,,ไข่มุกด์ วิกรัยศักดา* ,,,,,,,,,,,,,
,3,3,809,วันพุธ  13:00-16:00,KH80-203,Q02-5,1,,,,,,,ไข่มุกด์ วิกรัยศักดา* ,,,,,,,,,,,,,
,3,3,825,วันพุธ  13:00-16:00,KH80-203,Q10-3,79,,,,,,,ไข่มุกด์ วิกรัยศักดา* ,,,,,,,,,,,,,
,3,3,826,วันจันทร์  16:00-19:00,ติดต่อผู้สอน,Q10-4,7,,,,,,,ไข่มุกด์ วิกรัยศักดา* ,,,,,,,,,,,,,
01134331-65 นโยบายผลิตภัณฑ์และราคา (Product and Price Policy),3,3,700,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","KH80-202 , KH80-202",Q10-3,86,,,,,,,ศุภชัย เหมือนโพธิ์* ,,,,,,,,,,,,,
,3,3,825,วันจันทร์  14:30-17:30,KH80-202,Q10-3,79,,,,,,,ศุภชัย เหมือนโพธิ์* ,,,,,,,,,,,,,
01134332-65 การจัดการผลิตภัณฑ์เชิงกลยุทธ์ (Strategic Product Management),3,3,700,วันอังคาร  9:00-12:00,KH80-207,"Q10-4 , Q28-3 , Q28-4 , Q10-5",100,,,,,,,ไข่มุกด์ วิกรัยศักดา* ,,,,,,,,,,,,,
,3,3,809,วันจันทร์  13:00-16:00,KH80-203,Q02-5,1,,,,,,,ไข่มุกด์ วิกรัยศักดา* ,,,,,,,,,,,,,
,3,3,825,วันจันทร์  13:00-16:00,KH80-203,Q10-4,58,,,,,,,ไข่มุกด์ วิกรัยศักดา* ,,,,,,,,,,,,,
01134341-65 การจัดการช่องทางการตลาด (Marketing Channel Management),3,3,700,วันอังคาร  9:00-12:00,KH80-208,"Q10-3 , Q28-3 , Q28-4",103,,,,,,,ทาริกา สระทองคำ* ,,,,,,,,,,,,,
,3,3,809,วันจันทร์  9:00-12:00,KH80-208,Q02-5,1,,,,,,,ทาริกา สระทองคำ* ,,,,,,,,,,,,,
,3,3,825,วันจันทร์  9:00-12:00,KH80-208,Q10-3,79,,,,,,,ทาริกา สระทองคำ* ,,,,,,,,,,,,,
01134342-65 การค้าปลีก (Retailing),3,3,700,วันจันทร์  13:00-16:00,ติดต่อผู้สอน,Q10-3,86,,,,,,,ทาริกา สระทองคำ* ,,,,,,,,,,,,,
,3,3,825,วันอังคาร  13:00-16:00,KH80-208,Q10-3,79,,,,,,,ทาริกา สระทองคำ* ,,,,,,,,,,,,,
01134351-65 การสื่อสารการตลาดแบบบูรณาการ (Integrated Marketing Communication),3,3,700,วันอังคาร  13:00-16:00,KH80-205,"Q10-3 , Q28-3 , Q28-4",101,,,,,,,รุ่งทิพย์ ไทยสม* ,,,,,,,,,,,,,
,3,3,825,วันอังคาร  9:00-12:00,KH80-205,Q10-3,79,,,,,,,รุ่งทิพย์ ไทยสม* ,,,,,,,,,,,,,
